True nu: 0.05
Initial nu_pinn guess: 0.060000
Starting Adam training...
Adam Epoch 0: Loss = 3.206871, Discovered nu = 0.060060
Adam Epoch 100: Loss = 1.423138, Discovered nu = 0.060012
Adam Epoch 200: Loss = 1.396457, Discovered nu = 0.060053
Adam Epoch 300: Loss = 1.207655, Discovered nu = 0.058670
Adam Epoch 400: Loss = 0.770774, Discovered nu = 0.047499
Adam Epoch 500: Loss = 0.315199, Discovered nu = 0.038014
Adam Epoch 600: Loss = 0.152213, Discovered nu = 0.031352
Adam Epoch 700: Loss = 0.078922, Discovered nu = 0.027176
Adam Epoch 800: Loss = 0.054264, Discovered nu = 0.024127
Adam Epoch 900: Loss = 0.041571, Discovered nu = 0.023109

Adam training finished.
Starting L-BFGS-B training with SciPy...
  L-BFGS-B: Loss = 2.052037e-02, Grad Norm = 4.124382e-01, nu_pinn_grad = -5.205803e-03
  L-BFGS-B: Loss = 2.014987e-02, Grad Norm = 4.453520e-01, nu_pinn_grad = -4.960467e-03
  L-BFGS-B: Loss = 1.968761e-02, Grad Norm = 3.319808e-01, nu_pinn_grad = -4.528380e-03
  L-BFGS-B: Loss = 1.943103e-02, Grad Norm = 2.145810e-01, nu_pinn_grad = -3.550269e-03
  L-BFGS-B: Loss = 1.926113e-02, Grad Norm = 2.500345e-01, nu_pinn_grad = -2.701120e-03
  L-BFGS-B: Loss = 1.911862e-02, Grad Norm = 4.197699e-01, nu_pinn_grad = -2.174316e-03
  L-BFGS-B: Loss = 1.885251e-02, Grad Norm = 3.610205e-01, nu_pinn_grad = -1.717206e-03
  L-BFGS-B: Loss = 1.856250e-02, Grad Norm = 2.965286e-01, nu_pinn_grad = -2.060633e-03
  L-BFGS-B: Loss = 1.831648e-02, Grad Norm = 2.802826e-01, nu_pinn_grad = -3.029719e-03
  L-BFGS-B: Loss = 1.817228e-02, Grad Norm = 2.719849e-01, nu_pinn_grad = -3.604183e-03
  L-BFGS-B: Loss = 1.800458e-02, Grad Norm = 4.152422e-01, nu_pinn_grad = -4.187151e-03
  L-BFGS-B: Loss = 1.771425e-02, Grad Norm = 4.148968e-01, nu_pinn_grad = -4.420376e-03
  L-BFGS-B: Loss = 1.737346e-02, Grad Norm = 3.585332e-01, nu_pinn_grad = -4.102536e-03
  L-BFGS-B: Loss = 1.712929e-02, Grad Norm = 1.664206e-01, nu_pinn_grad = -3.658844e-03
  L-BFGS-B: Loss = 1.702303e-02, Grad Norm = 3.206400e-01, nu_pinn_grad = -3.252568e-03
  L-BFGS-B: Loss = 1.690604e-02, Grad Norm = 2.786404e-01, nu_pinn_grad = -2.798389e-03
  L-BFGS-B: Loss = 1.678331e-02, Grad Norm = 2.866922e-01, nu_pinn_grad = -2.591010e-03
  L-BFGS-B: Loss = 1.649088e-02, Grad Norm = 1.996193e-01, nu_pinn_grad = -2.707940e-03
  L-BFGS-B: Loss = 1.636505e-02, Grad Norm = 1.545810e-01, nu_pinn_grad = -3.229902e-03
  L-BFGS-B: Loss = 1.628430e-02, Grad Norm = 1.663324e-01, nu_pinn_grad = -3.687341e-03
  L-BFGS-B: Loss = 1.613746e-02, Grad Norm = 1.872106e-01, nu_pinn_grad = -4.069844e-03
  L-BFGS-B: Loss = 1.593920e-02, Grad Norm = 3.081528e-01, nu_pinn_grad = -3.976965e-03
  L-BFGS-B: Loss = 1.567885e-02, Grad Norm = 2.449181e-01, nu_pinn_grad = -3.794654e-03
  L-BFGS-B: Loss = 1.549690e-02, Grad Norm = 2.117944e-01, nu_pinn_grad = -3.056000e-03
  L-BFGS-B: Loss = 1.533873e-02, Grad Norm = 1.973165e-01, nu_pinn_grad = -2.676838e-03
  L-BFGS-B: Loss = 1.512276e-02, Grad Norm = 2.821910e-01, nu_pinn_grad = -2.316110e-03
  L-BFGS-B: Loss = 1.493175e-02, Grad Norm = 3.029769e-01, nu_pinn_grad = -2.072894e-03
  L-BFGS-B: Loss = 1.461846e-02, Grad Norm = 4.246133e-01, nu_pinn_grad = -2.137732e-03
  L-BFGS-B: Loss = 1.443812e-02, Grad Norm = 1.047087e-01, nu_pinn_grad = -2.064659e-03
  L-BFGS-B: Loss = 1.437818e-02, Grad Norm = 2.436815e-01, nu_pinn_grad = -2.423856e-03
  L-BFGS-B: Loss = 1.433898e-02, Grad Norm = 1.106382e-01, nu_pinn_grad = -2.510330e-03
  L-BFGS-B: Loss = 1.429662e-02, Grad Norm = 1.157369e-01, nu_pinn_grad = -2.390416e-03
  L-BFGS-B: Loss = 1.424332e-02, Grad Norm = 2.277500e-01, nu_pinn_grad = -2.113835e-03
  L-BFGS-B: Loss = 1.418271e-02, Grad Norm = 2.489877e-01, nu_pinn_grad = -1.765770e-03
  L-BFGS-B: Loss = 1.411430e-02, Grad Norm = 2.595927e-01, nu_pinn_grad = -1.849952e-03
  L-BFGS-B: Loss = 1.399179e-02, Grad Norm = 2.823016e-01, nu_pinn_grad = -1.580538e-03
